Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
,,,,,,,,,,,,,,,
610,101.3,,,,,,,,,,,,,,
610,113.2,608,548,11.2,229,17.3,144.6,6.7,49,87409,3278,2885,24.6,112,2980748
610,125.1,,,,,,,,,,,,,,
610,140,,,,,,,,,,,,,,
610,153.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
610,154.9,,,,,,,,,,,,,,
610,174.2,,,,,,,,,,,,,,
610,195,,,,,,,,,,,,,,
610,217.4,,,,,,,,,,,,,,
610,241.2,,,,,,,,,,,,,,
610,262,,,,,,,,,,,,,,
210,285.8,,,,,,,,,,,,,,
210,308.2,,,,,,,,,,,,,,
310,340.9,,,,,,,,,,,,,,
310,372.2,,,,,,,,,,,,,,
610,415.3,,,,,,,,,,,,,,
610,455.5,,,,,,,,,,,,,,
610,498.7,,,,,,,,,,,,,,
610,55.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
686,125.1,,,,,,,,,,,,,,
686,140,,,,,,,,,,,,,,
686,151.9,,,,,,,,,,,,,,
686,169.7,,,,,,,,,,,,,,
686,192.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
686,217.4,,,,,,,,,,,,,,
686,239.7,,,,,,,,,,,,,,
686,265,,,,,,,,,,,,,,
686,288.8,,,,,,,,,,,,,,
686,323.1,,,,,,,,,,,,,,
686,349.8,,,,,,,,,,,,,,
686,384.1,,,,,,,,,,,,,,
686,418.3,,,,,,,,,,,,,,
686,457,,,,,,,,,,,,,,
686,500.2,,,,,,,,,,,,,,
686,547.8,,,,,,,,,,,,,,
686,802.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
762,134,,,,,,,,,,,,,,
762,147.4,,,,,,,,,,,,,,
762,160.8,,,,,,,,,,,,,,
762,172.7,,,,,,,,,,,,,,
762,184.6,,,,,,,,,,,,,,
762,196.5,,,,,,,,,,,,,,
762,220.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
762,257.6,,,,,,,,,,,,,,
762,284.4,,,,,,,,,,,,,,
762,314.1,,,,,,,,,,,,,,
762,349.8,,,,,,,,,,,,,,
762,388.5,,,,,,,,,,,,,,
762,434.7,,,,,,,,,,,,,,
762,485.3,,,,,,,,,,,,,,
762,531.4,,,,,,,,,,,,,,
762,582.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
838,175.7,,,,,,,,,,,,,,
838,193.6,,,,,,,,,,,,,,
838,209.9,,,,,,,,,,,,,,
838,226.3,,,,,,,,,,,,,,
838,251.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
838,299.2,,,,,,,,,,,,,,
838,329,,,,,,,,,,,,,,
838,358.8,,,,,,,,,,,,,,
838,391.5,,,,,,,,,,,,,,
838,433.2,,,,,,,,,,,,,,
838,473.4,,,,,,,,,,,,,,
838,527,,,,,,,,,,,,,,
838,576.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
914,201,,,,,,,,,,,,,,
914,223.3,,,,,,,,,,,,,,
914,238.2,,,,,,,,,,,,,,
914,253.1,,,,,,,,,,,,,,
914,271,,,,,,,,,,,,,,
914,288.8,,,,,,,,,,,,,,
914,312.6,,,,,,,,,,,,,,
914,345.4,,,,,,,,,,,,,,
914,381.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
914,342.4,,,,,,,,,,,,,,
914,367.7,,,,,,,,,,,,,,
914,390,,,,,,,,,,,,,,
914,419.8,,,,,,,,,,,,,,
914,449.6,,,,,,,,,,,,,,
914,491.3,,,,,,,,,,,,,,
914,537.4,,,,,,,,,,,,,,
914,588,,,,,,,,,,,,,,
914,658,,,,,,,,,,,,,,
914,724.9,,,,,,,,,,,,,,
914,787.5,,,,,,,,,,,,,,
914,970.6,,,,,,,,,,,,,,
914,1190.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1016,221.8,,,,,,,,,,,,,,
1016,248.6,,,,,,,,,,,,,,
1016,272.4,,,,,,,,,,,,,,
1016,314.1,,,,,,,,,,,,,,
1016,349.8,,,,,,,,,,,,,,
1016,393,,,,,,,,,,,,,,
1016,413.9,,,,,,,,,,,,,,
1016,437.7,,,,,,,,,,,,,,
1016,486.8,,,,,,,,,,,,,,
1016,492.7,,,,,,,,,,,,,,
1016,583.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1016,296.3,,,,,,,,,,,,,,
1016,320.1,,,,,,,,,,,,,,
1016,370.7,,,,,,,,,,,,,,
1016,412.4,,,,,,,,,,,,,,
1016,442.1,,,,,,,,,,,,,,
1016,482.3,,,,,,,,,,,,,,
1016,538.9,,,,,,,,,,,,,,
1016,553.8,,,,,,,,,,,,,,
1016,591,,,,,,,,,,,,,,
1016,641.6,,,,,,,,,,,,,,
1016,748.8,,,,,,,,,,,,,,
1016,882.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1118,342.4,,,,,,,,,,,,,,
1118,390,,,,,,,,,,,,,,
1118,431.7,,,,,,,,,,,,,,
1118,498.7,,,,,,,,,,,,,,
